seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_180,,7,7,8,0,9,1325.85,0,27.416666666666668,5.0,11,3,3,sao goncalo,RJ
2018Q2,2018,2,seller_1501,,67,67,66,13,63,6988.2699999999995,7,26.616666666666667,5.0,7,3,3,salto,SP
2018Q2,2018,2,seller_2853,,25,25,25,0,22,1039.5,1,32.45,5.0,12,3,3,belo horizonte,MG
2018Q2,2018,2,seller_877,,19,19,19,0,20,1395.9,4,23.416666666666668,5.0,10,3,3,serra negra,SP
2018Q2,2018,2,seller_2386,,29,29,31,2,33,11036.9,2,25.95,5.0,15,3,3,sao bernardo do campo,SP
2018Q2,2018,2,seller_2955,,28,27,27,0,30,6229.700000000001,3,18.483333333333334,5.0,19,3,3,rio de janeiro,RJ
2018Q2,2018,2,seller_1394,,6,6,6,0,8,855.39,1,35.19166666666667,4.0,17,3,3,foz do iguacu,PR
2018Q2,2018,2,seller_649,,17,16,15,0,15,541.35,0,35.3,5.0,3,3,3,sao paulo,SP
2018Q2,2018,2,seller_852,,5,5,5,0,5,2762.0299999999997,0,22.0,5.0,1,1,1,sorocaba,SP
2018Q2,2018,2,seller_1837,,3,3,3,0,2,240.0,0,23.2,5.0,4,3,2,ribeirao preto,SP
2018Q2,2018,2,seller_2759,,42,42,40,8,46,977.96,8,87.80833333333334,4.0,15,3,3,sao paulo,SP
2018Q2,2018,2,seller_1126,,36,36,37,3,37,34316.41,0,23.566666666666666,5.0,6,3,3,teresopolis,RJ
2018Q2,2018,2,seller_1647,,42,43,43,2,47,15294.539999999999,5,135.3,5.0,12,3,3,mogi guacu,SP
2018Q2,2018,2,seller_3068,,9,9,9,0,7,834.9,0,22.55,5.0,3,3,3,sao jose do rio preto,SP
2018Q2,2018,2,seller_1934,,4,4,4,0,9,494.9,3,1164.5833333333333,5.0,5,2,2,presidente prudente,SP
2018Q2,2018,2,seller_912,,5,5,5,0,5,934.3599999999999,0,23.266666666666666,5.0,3,3,3,sao bernardo do campo,SP
2018Q2,2018,2,seller_1382,,25,25,26,1,29,4033.0,1,30.65,5.0,6,3,3,mogi das cruzes,SP
2018Q2,2018,2,seller_553,,7,7,7,0,7,299.2,0,57.71666666666667,5.0,2,3,2,curitiba,PR
2018Q2,2018,2,seller_1846,,3,3,2,0,2,334.98,0,27.6,5.0,8,3,2,buritama,SP
2018Q2,2018,2,seller_507,,20,20,20,0,24,2097.21,3,29.758333333333333,5.0,17,3,3,piracicaba,SP
