seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2017Q2,2017,2,seller_2383,True,2,2,2,0,2,178.99,0,1076.6333333333334,5.0,3,3,2,itapevi,SP
2017Q4,2017,4,seller_1765,False,1,1,1,1,1,140.9,1,19.083333333333332,4.0,1,2,1,campinas,SP
2017Q1,2017,1,seller_966,True,1,1,1,0,1,49.9,0,10.783333333333333,5.0,1,1,1,uberaba,MG
2017Q3,2017,3,seller_2859,False,2,2,2,0,3,449.59,0,1228.7916666666667,4.5,6,2,2,paranavai,PR
2017Q3,2017,3,seller_500,False,1,1,1,0,1,79.9,0,17.216666666666665,2.0,1,2,1,porto alegre,RS
2017Q4,2017,4,seller_2095,False,1,1,1,0,1,29.9,0,20.533333333333335,3.0,1,1,1,canoas,RS
2017Q4,2017,4,seller_2175,False,1,1,1,1,0,0.0,0,10.933333333333334,0.0,3,2,1,sao paulo,SP
2018Q1,2018,1,seller_1950,False,1,1,1,0,1,45.0,0,7.683333333333334,5.0,8,1,1,santo andre,SP
2017Q1,2017,1,seller_1067,True,1,1,1,0,1,165.05,0,11.25,5.0,1,3,1,guarapuava,PR
2017Q4,2017,4,seller_2193,True,1,1,0,0,0,0.0,0,300.2,0.0,1,3,1,salvador,BA
2018Q1,2018,1,seller_3059,True,1,1,1,1,1,49.99,1,2009.4166666666667,1.0,2,1,1,ribeirao preto,SP
2018Q1,2018,1,seller_3060,True,3,3,3,1,4,689.87,0,20.133333333333333,5.0,7,1,1,uberlandia,MG
2018Q1,2018,1,seller_1486,False,1,1,1,0,0,0.0,0,2266.4,0.0,1,2,1,sao jose dos campos,SP
2018Q1,2018,1,seller_1622,False,2,2,2,0,2,117.0,1,21.541666666666668,3.0,5,3,2,aruja,SP
2017Q4,2017,4,seller_2799,False,1,1,1,0,1,114.9,0,14.4,5.0,1,3,1,santos,SP
2017Q4,2017,4,seller_671,True,1,1,1,0,1,34.99,0,18.75,5.0,2,2,1,sao paulo,SP
2017Q1,2017,1,seller_2727,False,1,1,1,1,1,699.0,0,2129.8166666666666,5.0,1,2,1,curitiba,PR
2017Q2,2017,2,seller_1029,False,1,1,1,0,1,99.95,0,14.65,4.0,1,3,1,apucarana,PR
2018Q1,2018,1,seller_2398,True,1,1,1,0,0,0.0,0,22.25,0.0,1,3,1,ibirite,MG
2017Q2,2017,2,seller_961,False,1,1,1,0,1,294.0,0,1438.0,4.0,1,2,1,curitiba,PR
2017Q3,2017,3,seller_517,True,1,1,0,0,0,0.0,0,17.5,0.0,1,2,1,04482255,RJ
2017Q4,2017,4,seller_2235,True,2,2,2,0,2,291.43,0,12.841666666666667,3.0,4,2,2,curitiba,PR
2017Q2,2017,2,seller_2547,False,1,1,1,0,1,34.92,0,4251.483333333334,5.0,1,2,1,guaruja,SP
2017Q4,2017,4,seller_1611,True,1,1,1,0,1,99.0,0,854.9666666666667,4.0,4,1,1,sao caetano do sul,SP
2017Q4,2017,4,seller_2548,False,1,1,1,0,1,149.9,0,28.7,5.0,1,1,1,sao paulo,SP
2017Q3,2017,3,seller_1865,True,1,1,1,0,1,269.9,0,12.866666666666667,5.0,1,2,1,rio de janeiro,RJ
2017Q3,2017,3,seller_1640,False,1,1,1,0,1,162.0,0,19.316666666666666,5.0,2,2,1,curitiba,PR
2017Q3,2017,3,seller_2540,True,1,1,0,0,0,0.0,0,4875.25,0.0,1,2,1,medianeira,PR
2017Q4,2017,4,seller_2738,True,1,1,0,0,1,75.0,0,23.183333333333334,5.0,2,1,1,dores de campos,MG
2018Q1,2018,1,seller_1140,False,1,1,1,0,1,14.9,0,3362.983333333333,5.0,1,3,1,joinville,SC
2017Q1,2017,1,seller_607,True,1,1,0,0,0,0.0,0,511.26666666666665,0.0,1,3,1,vila velha,SP
2017Q3,2017,3,seller_1494,False,2,2,2,0,2,111.8,0,15.883333333333333,3.0,1,3,1,palhoca,SP
2018Q1,2018,1,seller_303,False,1,1,1,0,1,192.95000000000002,0,1440.65,2.0,1,2,1,guarulhos,SP
2017Q3,2017,3,seller_2550,True,1,1,1,0,1,599.0,0,100.85,5.0,3,2,1,fortaleza,CE
2017Q2,2017,2,seller_524,False,1,1,1,0,1,41.8,0,61.46666666666667,5.0,1,1,1,campinas,SP
2017Q1,2017,1,seller_455,False,1,1,1,1,1,1099.0,0,1578.3833333333334,4.0,1,2,1,sao paulo,SP
2018Q1,2018,1,seller_1069,True,1,1,0,0,0,0.0,0,1283.1166666666666,0.0,11,1,1,canoas,RS
2018Q1,2018,1,seller_2891,False,4,4,4,3,4,4319.0,1,30.908333333333335,4.0,14,3,3,sao paulo,SP
2017Q4,2017,4,seller_1850,True,1,1,1,0,1,230.0,0,1958.5166666666667,4.0,2,2,1,erechim,RS
2017Q1,2017,1,seller_2092,True,2,2,2,0,2,699.98,0,48.96666666666667,4.0,1,2,1,foz do iguacu,PR
2017Q3,2017,3,seller_1040,True,1,1,0,0,0,0.0,0,25.433333333333334,0.0,1,2,1,santo andre,SP
2018Q1,2018,1,seller_1237,True,1,1,2,2,2,1701.8000000000002,1,9.633333333333333,0.5,2,3,1,jundiai,SP
2017Q3,2017,3,seller_1835,False,1,1,1,0,1,274.0,0,13.95,5.0,1,3,1,curitiba,PR
2018Q1,2018,1,seller_1441,False,1,1,1,0,1,148.98,0,15.366666666666667,5.0,1,2,1,sao jose do rio preto,SP
2017Q4,2017,4,seller_1929,False,1,1,1,0,1,239.9,0,10.9,4.0,2,3,1,curitiba,PR
2017Q1,2017,1,seller_704,True,1,1,1,0,1,98.0,0,0.0,5.0,1,3,1,sao paulo,SP
